id,title,title_html,body,body_html,i_country,i_region,section,year,document,issuing,law_type,topic,liability,provider,immunity,intermediary_liability,TYPE OF CONTENT PROCESSING,osp_obligation,ISSUES ADDRESSED,issues,TRIGGER FOR OBLIGATION OF OSP,NOTICE AND TAKEDOWN FORMALITIES,"DUE PROCESS FOR TARGET SPEAKER,
THIRD PARTIES AND END-USERS","PUBLIC TRANSPARENCY ABOUT 
OSP ACTION OR GOVT REQUEST",LIMITATION ON SCOPE OF COMPLIANCE,promote,link_status,title_link,link_link_update,link_ok
593,"Supreme Court of Sweden (Högsta Domstolen) NJA 1996 s. 74, February 22, 1996 (Swedish only)","<div><strong>Supreme Court of Sweden (Högsta Domstolen) <a href=""http://https://lagen.nu/dom/nja/1996s74"">NJA 1996 s. 74</a>, February 22, 1996</strong> (Swedish only)</div>",The matter related to whether the owner of a BBS could be liable for copyright infringements committed via the BBS. The key issue regarded what parts of that party’s technical equipment was to be seized.,<div>[The matter related to whether the owner of a BBS could be liable for copyright infringements committed via the BBS. The key issue regarded what parts of that party’s technical equipment was to be seized.]</div>,Sweden,,DECISIONS - Superior Courts,1996,Court/Judicial Decision,Highest Domestic/national (including State) Court,,Copyright,,Host (Including Social Networks),,Other,,,,,,,,,,,Broken,http://https://lagen.nu/dom/nja/1996s74,,
594,"Court of Appeal (Svea hovrätt) ‘The Pirate Bay case’ RH 2013:27, 26 November 2010 (Swedish only)","<div><strong>Court of Appeal (Svea hovrätt)&nbsp;<a href=""https://lagen.nu/dom/rh/2013:27"">‘The Pirate Bay case’ RH 2013:27</a>, 26 November 2010</strong>&nbsp;(Swedish only)</div>","(1) Importantly this case tested the scope of the protection afforded to intermediaries under the E-Commerce Directive as implemented into Swedish law. The Court concluded that, due to the nature of its operation, The Pirate Bay could not rely on the protection afforded to some intermediaries under the E-Commerce Directive.
 
(2) The case, is also interesting as it considered whether a Swedish court could claim jurisdiction where part of the relevant conduct, in a copyright violation, had taken place abroad. It was clear that some of The Pirate Bay’s users (i.e. the ones committing the actual copyright infringements – the principal offense) were located outside Sweden at the time of committing the copyright infringements. The relevant law makes clear that an offense is regarded as committed where the criminal act took place as well as where the offense was competed (Chapter 2, section 4 Criminal Code). Thus, the courts had to decide where the principal offense was committed when The Pirate Bay’s users were located outside Sweden at the time of committing the copyright infringements. Had the Court concluded that the principal offenses in such cases had been committed outside Sweden, Swedish jurisdiction could be called into question and the application of Swedish law may not have been permitted. However, the District Court stated that: “According to the District Court, there are strong reasons to take the view that an offense that means that one makes accessible something via the Internet is committed in a country where an Internet user may access the information that is made available, provided that the making available has a effect on the legal rights held in that country [...]. This is particularly so where the information – as in this case – is published in a language spoken in that country. This suggests that all of the principal offenses, including those committed by persons located outside Sweden, shall be regarded as committed in Sweden, This conclusion is further supported by the fact that servers (computers) that have hosted The Pirate Bay website and tracker have been located in Sweden.” The Court of Appeal took a slightly more sophisticated approach discussing the matter at greater length but reached a similar conclusion since the torrent files were placed on servers in Sweden.]","<div>[(<strong>1</strong>) Importantly this case tested the <strong>scope of the protection afforded to intermediaries under the E-Commerce Directive</strong> as implemented into Swedish law.&nbsp;The Court concluded that, due to the nature of its operation, The Pirate Bay could not rely on the protection afforded to some intermediaries under the E-Commerce Directive.</div>
<div>(<strong>2</strong>) The case, is also interesting as it considered whether a Swedish court could claim <strong>jurisdiction</strong> where part of the relevant conduct, in a copyright violation, had taken place abroad.&nbsp;It was clear that some of The Pirate Bay’s users (i.e. the ones committing the actual copyright infringements – the principal offense) were located outside Sweden at the time of committing the copyright infringements. The relevant law makes clear that an offense is regarded as committed where the criminal act took place as well as where the offense was competed (Chapter 2, section 4 Criminal Code). Thus, the courts had to decide where the principal offense was committed when The Pirate Bay’s users were located outside Sweden at the time of committing the copyright infringements. Had the Court concluded that the principal offenses in such cases had been committed outside Sweden, Swedish jurisdiction could be called into question and the application of Swedish law may not have been permitted. However, the District Court stated that: “According to the District Court, there are strong reasons to take the view that an offense that means that one makes accessible something via the Internet is committed in a country where an Internet user may access the information that is made available, provided that the making available has a effect on the legal rights held in that country [...]. This is particularly so where the information – as in this case – is published in a language spoken in that country. This suggests that all of the principal offenses, including those committed by persons located outside Sweden, shall be regarded as committed in Sweden, This conclusion is further supported by the fact that servers (computers) that have hosted The Pirate Bay website and tracker have been located in Sweden.” The Court of Appeal took a slightly more sophisticated approach discussing the matter at greater length but reached a similar conclusion since the torrent files were placed on servers in Sweden.]</div>",Sweden,,DECISIONS - High or Apellate Courts,2010,Court/Judicial Decision,Appellate Domestic Court,Criminal,Copyright+Jurisdiction,,P2P,Weakens Immunity,,,Block or Remove,,,,,,,,,Good/No Action Required,https://lagen.nu/dom/rh/2013:27,,https://lagen.nu/dom/rh/2013:27
595,"Court of Appeal (Svea hovrätt) ‘Black Internet case’ Ö 7131-09, 4 May 2010 (Swedish only)","<div><strong>Court of Appeal (Svea hovrätt) <a href=""http://cybernormer.se/wp-content/uploads/2010/07/BI-TPB-Hovratten.pdf"">‘Black Internet case’ Ö 7131-09</a>, 4 May 2010</strong> (Swedish only)</div>",Related to the ‘The Pirate Bay’ case.],<div>[Related to the ‘The Pirate Bay’ case.]</div>,Sweden,,DECISIONS - High or Apellate Courts,2010,Court/Judicial Decision,Appellate Domestic Court,,Copyright,,P2P,,,,,,,,,,,,,Broken,http://cybernormer.se/wp-content/uploads/2010/07/BI-TPB-Hovratten.pdf,,
596,General Introduction - Switzerland,General Introduction - Switzerland,"Under Swiss law, no provision addresses specifically the liability of ISPs. Activities of ISPs must be assessed according to provisions generally applicable to criminal and civil liability. The provisions which are potentially relevant for ISPs are listed hereinafter.","<div>[Under Swiss law, no provision addresses specifically the liability of ISPs. Activities of ISPs must be assessed according to provisions generally applicable to criminal and civil liability. The provisions which are potentially relevant for ISPs are listed hereinafter.]</div>",Switzerland,,GENERAL INTRODUCTION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,,,,,,,,,,
597,Swiss Criminal Code (federal classified compilation 311.0) [English Version],"<div><strong>Swiss Criminal Code (federal classified compilation 311.0) [<a href=""http://www.admin.ch/opc/en/classified-compilation/19370083/index.html"">English Version</a>]</strong></div>",Articles 173 et seq. – Offence against personal honor; Article 259 – Public incitement to commit a felony or act of violence; Article 261bis – Racial discrimination; Article 25 – Complicity; Article 28 – Criminal liability of the media,<div>[Articles 173 et seq. – Offence against personal honor;&nbsp;Article 259 – Public incitement to commit a felony or act of violence;&nbsp;Article 261bis – Racial discrimination;&nbsp;Article 25 – Complicity;&nbsp;Article 28 – Criminal liability of the media]</div>,Switzerland,,LEGISLATION - Law,1937,Legislation,Legislative Branch,Criminal,Defamation or Personality Rights+Hate Speech, ,General or Non-Specified,,,,,,,,,,,,,Good/No Action Required,http://www.admin.ch/opc/en/classified-compilation/19370083/index.html,,http://www.admin.ch/opc/en/classified-compilation/19370083/index.html
598,Swiss Civil Code (federal classified compilation 210.0) [English Version],"<div><strong>Swiss Civil Code (federal classified compilation 210.0) [<a href=""http://www.admin.ch/opc/en/classified-compilation/19070042/index.html"">English Version</a>]</strong></div>",Articles 28 et seq. – Protection of legal personality against infringements,<div>[Articles 28 et seq. – Protection of legal personality against infringements]</div>,Switzerland,,LEGISLATION - Law,1907,Legislation,Legislative Branch,Civil,General or Non-Specified,,General or Non-Specified,,,,,,,,,,,,,Good/No Action Required,http://www.admin.ch/opc/en/classified-compilation/19070042/index.html,,http://www.admin.ch/opc/en/classified-compilation/19070042/index.html
599,Swiss Code of Obligations (federal classified compilation 220.0) [English Version],"<div><strong>Swiss Code of Obligations (federal classified compilation 220.0) [<a href=""http://www.admin.ch/opc/en/classified-compilation/19110009/index.html"">English Version</a>]</strong></div>",Articles 41 et seq. – Obligations in torts; Article 50 – Multiple liable parties,<div>[Articles 41 et seq. – Obligations in torts;&nbsp;Article 50 – Multiple liable parties]</div>,Switzerland,,LEGISLATION - Law,1911,Legislation,Legislative Branch,Civil,Other,,General or Non-Specified,,,,,,,,,,,,,Good/No Action Required,http://www.admin.ch/opc/en/classified-compilation/19110009/index.html,,http://www.admin.ch/opc/en/classified-compilation/19110009/index.html
600,Swiss Federal Act on Copyright and Related Rights (federal classified compilation 231.1) [English Version],"<div><strong>Swiss Federal Act on Copyright and Related Rights (federal classified compilation 231.1) [<a href=""http://www.admin.ch/opc/en/classified-compilation/19920251/index.html"">English Version</a>]</strong></div>",Article 62 – Civil actions (including references to the Swiss Code of Obligations); Articles 67 et seq. – Criminal provisions,<div>[Article 62 – Civil actions (including references to the Swiss Code of Obligations);&nbsp;Articles 67 et seq. – Criminal provisions]</div>,Switzerland,,LEGISLATION - Law,1992,Legislation,Legislative Branch,Civil+Criminal,Copyright,,General or Non-Specified,,,,,,,,,,,,,Good/No Action Required,http://www.admin.ch/opc/en/classified-compilation/19920251/index.html,,http://www.admin.ch/opc/en/classified-compilation/19920251/index.html
601,Swiss Federal Act on the Protection of Trademarks and Geographical Indications (federal classified compilation 232.11),"<div><strong><a href=""http://www.admin.ch/opc/fr/classified-compilation/19920213/index.html"">Swiss Federal Act on the Protection of Trademarks and Geographical Indications</a> (federal classified compilation 232.11)</strong></div>",Article 55 – Civil actions (including references to the Swiss Code of Obligations); Articles 61 et seq. – Criminal provisions,<div>[Article 55 – Civil actions (including references to the Swiss Code of Obligations);&nbsp;Articles 61 et seq. – Criminal provisions]</div>,Switzerland,,LEGISLATION - Law,1992,Legislation,Legislative Branch,Civil+Criminal,Other IP,,General or Non-Specified,,,,,,,,,,,,,Good/No Action Required,http://www.admin.ch/opc/fr/classified-compilation/19920213/index.html,,http://www.admin.ch/opc/fr/classified-compilation/19920213/index.html
602,Swiss Federal Act against Unfair Competition (federal classified compilation 241.0),"<div><strong><a href=""http://www.admin.ch/opc/fr/classified-compilation/19860391/index.html"">Swiss Federal Act against Unfair Competition</a> (federal classified compilation 241.0)</strong></div>",Article 9 et seq. – Civil actions (including references to the Swiss Code of Obligations); Articles 23 et seq. – Criminal provisions,<div>[Article 9 et seq. – Civil actions (including references to the Swiss Code of Obligations);&nbsp;Articles 23 et seq. – Criminal provisions]</div>,Switzerland,,LEGISLATION - Law,1986,Legislation,Legislative Branch,Civil+Criminal,Other,,General or Non-Specified,,,,,,,,,,,,,Good/No Action Required,http://www.admin.ch/opc/fr/classified-compilation/19860391/index.html,,http://www.admin.ch/opc/fr/classified-compilation/19860391/index.html
603,"Cybercrime project (abandoned), Federal Department of Justice and Police","<div><strong>Cybercrime project (abandoned), Federal Department of Justice and Police</strong></div>","Between 2001 and 2008, the federal government examined the opportunity to propose new rules governing the criminal liability of ISPs. However, it came to the conclusion that the current regulatory framework is appropriate to efficiently fight against criminal activities over the Internet. In addition, new rules would face the risk of being too rapidly outdated given the fast development of technologies in this sector. Also, the creation of immunities may inadequately serve the interests of ISPs by freeing them excessively from their liability.","<div>[Between 2001 and 2008, the federal government examined the opportunity to propose new rules governing the criminal liability of ISPs. However, it came to the conclusion that the current regulatory framework is appropriate to efficiently fight against criminal activities over the Internet. In addition, new rules would face the risk of being too rapidly outdated given the fast development of technologies in this sector. Also, the creation of immunities may inadequately serve the interests of ISPs by freeing them excessively from their liability.]</div>",Switzerland,,LEGISLATION - Law,2001,Proposed Legislation,Legislative Branch,Criminal,General or Non-Specified+Cyber Security,,General or Non-Specified,,,,,,,,,,,,,No Link,,,
604,"AGUR 12, Federal Department of Justice and Police & Federal Institute of Intellectual Property","<div><strong><a href=""https://www.ige.ch/en/copyright/agur12.html"">AGUR 12</a>,&nbsp;Federal Department of Justice and Police &amp;&nbsp;Federal Institute of Intellectual Property</strong></div>","AGUR 12 is a working group created in 2012 by the Federal Councillor Simonetta Sommaruga, Head of the Swiss Federal Department of Justice and Police, and under the supervision of the Director General of the Swiss Federal Institute of Intellectual Property, Roland Grossenbacher. The working group is responsible for identifying the possibilities that exist for adapting copyright law to technical developments. The group recently issued its report and recommended, among others, the adoption of a takedown procedure (if possible through self-regulation) as well as of a system to block access via ISPs in serious copyright infringement cases (see link to proposals here).","<div>[AGUR 12 is a working group created in 2012 by the Federal Councillor Simonetta Sommaruga, Head of the Swiss Federal Department of Justice and Police, and under the supervision of the Director General of the Swiss Federal Institute of Intellectual Property, Roland Grossenbacher. The working group is responsible for identifying the possibilities that exist for adapting copyright law to technical developments. The group recently issued its <a href=""http://www.ige.ch/fileadmin/user_upload/Urheberrecht/e/ Schlussbericht_der_AGUR12_Empfehlungen_EN.pdf"">report and recommended</a>, among others, the adoption of a takedown procedure (if possible through self-regulation) as well as of a system to block access via ISPs in serious copyright infringement cases (see link to proposals <a href=""https://www.ige.ch/fileadmin/user_upload/Urheberrecht/e/ Schlussbericht_der_AGUR12_Empfehlungen_EN.pdf"">here</a>).]</div>",Switzerland,,LEGISLATION - Law,2012,Proposed Legislation+Policy Document,Other+Executive Branch,Civil,Copyright,-,General or Non-Specified+Internet Access Provider (Including Mobile),,Takedown/Act Upon Knowledge (Includes Notice and Takedown),,Block or Remove,,Trigger for OSP Obligations,,,,,,,Broken,https://www.ige.ch/en/copyright/agur12.html,,
605,"Federal Supreme Court, Civil, Tribune de Genève case, 5A_792/2011, January 14, 2013","<div><strong>Federal Supreme Court, Civil,&nbsp;<a href=""http://relevancy.bger.ch/php/aza/http/index.php?lang=de&amp;type=highlight_simple_query&amp;page=1&amp;from_date=&amp;to_date=&amp;sort=relevance&amp;insertion_date=&amp;top_subcollection_aza=all&amp;query_words=5A_792/2011+&amp;rank=1&amp;azaclir=aza&amp;highlight_docid=aza://14-01-2013-5A_792-2011&amp;number_of_ranks=1""><em>Tribune de Genève</em></a><a href=""http://relevancy.bger.ch/php/aza/http/index.php?lang=de&amp;type=highlight_simple_query&amp;page=1&amp;from_date=&amp;to_date=&amp;sort=relevance&amp;insertion_date=&amp;top_subcollection_aza=all&amp;query_words=5A_792/2011+&amp;rank=1&amp;azaclir=aza&amp;highlight_docid=aza://14-01-2013-5A_792-2011&amp;number_of_ranks=1"">&nbsp;case</a>,&nbsp;5A_792/2011,&nbsp;January 14, 2013</strong></div>","In the so-called Tribune de Genève case, the Swiss Supreme Court held that a newspaper is civilly liable (Article 28 of the Swiss civil code) when it hosts on its website the blog of a user whose content infringes on the personality rights of a third party. According to the Supreme Court, this liability is justified by the fact that the newspaper contributes to the diffusion of the infringing content to the public and a large circle of readers. The entity hosting the blog can be ordered to eliminate infringing contents on personality rights. Furthermore: (1) The Swiss Supreme Court explicitly clarified that the liability incurred by the infringement of personality rights is not related to the control over the infringing content. Put differently, since this type of liability does not require any fault (wilful intent or negligence), the question whether the ISP has control over the content posted in the blog or not is irrelevant. (2) The Swiss Supreme Court stated that ISPs will not face increasing actions for compensation as a result of this judgment because such actions typically require the demonstration of fault. (3) The Swiss Supreme Court considered that, in any event, serious consequences for ISPs that would result from the application of the existing law should not be fixed by the judiciary but by the legislature.","<div>[In the so-called <em>Tribune de Genève</em> case, the Swiss Supreme Court held that a newspaper is civilly liable (Article 28 of the Swiss civil code) when it hosts on its website the blog of a user whose content infringes on the personality rights of a third party. According to the Supreme Court, this liability is justified by the fact that the newspaper contributes to the diffusion of the infringing content to the public and a large circle of readers. The entity hosting the blog can be ordered to eliminate infringing contents on personality rights. Furthermore: (<strong>1</strong>) The Swiss Supreme Court explicitly clarified that the liability incurred by the infringement of personality rights is not related to the control over the infringing content. Put differently, since this type of liability does not require any fault (wilful intent or negligence), the question whether the ISP has control over the content posted in the blog or not is irrelevant. (<strong>2</strong>)&nbsp;The Swiss Supreme Court stated that ISPs will not face increasing actions for compensation as a result of this judgment because such actions typically require the demonstration of fault. (<strong>3</strong>)&nbsp;The Swiss Supreme Court considered that, in any event, serious consequences for ISPs that would result from the application of the existing law should not be fixed by the judiciary but by the legislature.&nbsp;</div>",Switzerland,,DECISIONS - Superior Courts,2013,Court/Judicial Decision,Highest Domestic/national (including State) Court,Civil,Defamation or Personality Rights,,Host (Including Social Networks)+ISP,Mixed/Neutral/Unclear,Takedown/Act Upon Knowledge (Includes Notice and Takedown),,Block or Remove+Monitor or Filter,,Trigger for OSP Obligations,,,,,,,Good/No Action Required,"http://relevancy.bger.ch/php/aza/http/index.php?lang=de&amp;type=highlight_simple_query&amp;page=1&amp;from_date=&amp;to_date=&amp;sort=relevance&amp;insertion_date=&amp;top_subcollection_aza=all&amp;query_words=5A_792/2011+&amp;rank=1&amp;azaclir=aza&amp;highlight_docid=aza://14-01-2013-5A_792-2011&amp;number_of_ranks=1""><em>Tribune de Genève</em></a><a href=""http://relevancy.bger.ch/php/aza/http/index.php?lang=de&amp;type=highlight_simple_query&amp;page=1&amp;from_date=&amp;to_date=&amp;sort=relevance&amp;insertion_date=&amp;top_subcollection_aza=all&amp;query_words=5A_792/2011+&amp;rank=1&amp;azaclir=aza&amp;highlight_docid=aza://14-01-2013-5A_792-2011&amp;number_of_ranks=1",,"http://relevancy.bger.ch/php/aza/http/index.php?lang=de&amp;type=highlight_simple_query&amp;page=1&amp;from_date=&amp;to_date=&amp;sort=relevance&amp;insertion_date=&amp;top_subcollection_aza=all&amp;query_words=5A_792/2011+&amp;rank=1&amp;azaclir=aza&amp;highlight_docid=aza://14-01-2013-5A_792-2011&amp;number_of_ranks=1""><em>Tribune de Genève</em></a><a href=""http://relevancy.bger.ch/php/aza/http/index.php?lang=de&amp;type=highlight_simple_query&amp;page=1&amp;from_date=&amp;to_date=&amp;sort=relevance&amp;insertion_date=&amp;top_subcollection_aza=all&amp;query_words=5A_792/2011+&amp;rank=1&amp;azaclir=aza&amp;highlight_docid=aza://14-01-2013-5A_792-2011&amp;number_of_ranks=1"
606,Deregulation Act 2015 c. 20,"<div><a href=""http://www.legislation.gov.uk/ukpga/2015/20/section/56/enacted""><strong>Deregulation Act 2015 c. 20</strong></a></div>","Section 56 of this Act repeals sections 17 and 18 of the Digital Economy Act 2010 (which warranted the introduction of specific website blocking injunctions, see below)","<div>[Section 56 of this Act repeals sections 17 and 18 of the Digital Economy Act 2010 (which warranted the introduction of specific website blocking injunctions, see below)].</div>",United Kingdom,,LEGISLATION - Law,2015,Legislation,Legislative Branch,Civil,Copyright,,Internet Access Provider (Including Mobile),,Takedown/Act Upon Court Order,,Block or Remove,,Trigger for OSP Obligations,,,,,,,Good/No Action Required,http://www.legislation.gov.uk/ukpga/2015/20/section/56/enacted,,http://www.legislation.gov.uk/ukpga/2015/20/section/56/enacted
607,Serious Crime Act 2015 c. 9,"<div><strong><a href=""http://www.legislation.gov.uk/ukpga/2015/9/contents/enacted"">Serious Crime Act 2015 c. 9</a></strong></div>","Section 69(1) of the Act provides that “it is an offence to be in possession of any item that contains advice or guidance about abusing children sexually.” Schedule 3 of the same legislative instrument specifies that this offence is to cover the domestic providers of information society services; unless they fall within one of the safe harbours reflecting the E-Commerce Directive 2000/31 (mere conduit, caching, hosting). Non-domestic providers can also be charged, but only if a specific public policy requires it.","<div>[<strong>Section 69(1)</strong> of the Act provides that “it is an offence to be in possession of any item that contains advice or guidance about abusing children sexually.” <strong>Schedule 3</strong> of the same legislative instrument specifies that this offence is to cover the domestic providers of information society services; unless they fall within one of the safe harbours reflecting the E-Commerce Directive 2000/31 (mere conduit, caching, hosting). Non-domestic providers can also be charged, but only if a specific public policy requires it.]</div>",United Kingdom,,LEGISLATION - Law,2015,Legislation,Legislative Branch,Criminal,Child Protection (Includes Child Pornography),,General or Non-Specified+Internet Access Provider (Including Mobile)+Cache+Host (Including Social Networks),,,,,,,,,,,,,Good/No Action Required,http://www.legislation.gov.uk/ukpga/2015/9/contents/enacted,,http://www.legislation.gov.uk/ukpga/2015/9/contents/enacted
608,"Regulations 2013/3028, Defamation (Operators of Websites)","<div><strong><a href=""http://www.legislation.gov.uk/uksi/2013/3028/contents/made"">Regulations 2013/3028</a>, Defamation (Operators of Websites)</strong></div>","These regulations are supplementary to section 5 of the Defamation Act 2013 (see below). Among others, they specify the characteristics of a valid notice of infringement, as well as require the website operators wishing to rely on the section 5 defence to respond to such a notice (by eg. removing the content complained of or by contacting its poster) within 48 hours (see Schedule 1 of the Regulations). That said, reg. 5 provides that the courts have the discretion to extend this period.","<div>[These regulations are supplementary to section 5 of the Defamation Act 2013 (see below). Among others, they specify the characteristics of a valid notice of infringement, as well as require the website operators wishing to rely on the section 5 defence to respond to such a notice (by eg. removing the content complained of or by contacting its poster) within 48 hours (see Schedule 1 of the Regulations). That said, reg. 5 provides that the courts have the discretion to extend this period.]</div>",United Kingdom,,LEGISLATION - Administrative Regulation,2013,Legislation,Legislative Branch,Civil,Defamation or Personality Rights,,General or Non-Specified,Mixed/Neutral/Unclear,Takedown/Act Upon Knowledge (Includes Notice and Takedown),,Block or Remove,,Notice Formalities,,,,,,,Good/No Action Required,http://www.legislation.gov.uk/uksi/2013/3028/contents/made,,http://www.legislation.gov.uk/uksi/2013/3028/contents/made
609,Defamation Act 2013 c. 26,"<div><a href=""http://www.legislation.gov.uk/ukpga/2013/26/contents/enacted""><strong>Defamation Act 2013 </strong><strong>c. 26</strong></a></div>","Section 5 of the Act sets out a new defence from liability in defamation, for the benefit of website operators. By virtue of this provision, such intermediaries are exempt from liability for defamatory statements uploaded onto their websites by the websites’ users. However, this defence can be overcome if the claimant proves: that it was not possible for the claimant to identify the person who posted the statement, that the claimant gave the operator a notice of complaint in relation to the statement, and that the operator failed to respond to the notice of complaint in accordance with any provision contained in regulations which are to be established under section 5(5) of the Act (see above).","<div>[Section 5 of the Act sets out a new defence from liability in defamation, for the benefit of website operators. By virtue of this provision, such intermediaries are exempt from liability for defamatory statements uploaded onto their websites by the websites’ users. However, this defence can be overcome if the claimant proves: that it was not possible for the claimant to identify the person who posted the statement, that the claimant gave the operator a notice of complaint in relation to the statement, and that the operator failed to respond to the notice of complaint in accordance with any provision contained in regulations which are to be established under section 5(5) of the Act (see above).]</div>",United Kingdom,,LEGISLATION - Law,2013,Legislation,Legislative Branch,Civil,Defamation or Personality Rights,,General or Non-Specified,Mixed/Neutral/Unclear,Takedown/Act Upon Knowledge (Includes Notice and Takedown),,Block or Remove+Data Retention or Disclosure,,Trigger for OSP Obligations,,,,,,,Good/No Action Required,http://www.legislation.gov.uk/ukpga/2013/26/contents/enacted,,http://www.legislation.gov.uk/ukpga/2013/26/contents/enacted
610,Digital Economy Act 2010 c. 24,"<div><strong><a href=""http://www.legislation.gov.uk/ukpga/2010/24"">Digital Economy Act 2010 c. 24</a></strong></div>","The DEA 2010 introduced two key procedures aimed at reducing online piracy through the “graduated response” approach – procedures labelled as the “initial obligations” and the “obligations to limit Internet access”.
 
(1) The first procedure starts with a copyright owner accessing one of the P2P filesharing networks, and attempting to find and download a file to which he owns the copyright. Once he succeeds, he is supposed to record the IP address of the user who made the copyrighted file available, and send it to this user's ISP in the form of a Copyright Infringement Report (CIR). By virtue of s. 3 of the Act, the ISP is then required to forward this CIR to the allegedly infringing user. Should a user receive more than three CIRs, each of them separated from another by a specific period of time, he is to be put on this ISP's “copyright infringement list”. By virtue of s. 4, the copyright owner may demand the ISP to provide him with an anonymous list of all users who reached the threshold by infringing his copyright. Upon receiving the list, the copyright owner may then apply for a court injunction to identify the infringing users and commence infringement proceedings against them.
 
(2) The second procedure, known as the “obligations to limit Internet access”, is to be implemented only if the Secretary of State decides that the initial obligations regime does not perform sufficiently well in reducing online piracy, after at least a year of operation. This second procedure would impose an obligation on the ISPs to act upon the Internet connection of its subscribers who reached the threshold of CIRs or went above it. This could potentially include measures such as limiting the speed of the connection, preventing the subscriber from accessing certain online services, and (in the ultimate case) suspending the subscriber's connection altogether. However, none of the two procedures has actually been implemented.
 
(3) The initial obligations code, governing the operational aspects of the discussed procedures, has not appeared yet. Moreover, after a series of setbacks, the UK government announced that the initial obligations regime is to be activated in the second half of 2015.
 
(4) In addition to the “graduated response” procedures, section 17 of the DEA 2010 provides that the Secretary of State may introduce regulations explicitly providing the courts with an option of granting a blocking injunction against a “location on the internet” (most commonly, a website) which the court sees as “(…) being, or (…) likely to be used for or in connection with an activity that infringes copyright.” The online service provider who received the blocking injunction would have to “prevent its service being used to gain access” such a location. However, such regulations haven’t been established yet, and section 17 itself is potentially a subject to removal within the Draft Deregulation Bill 2013, clause 26 of which proposes omitting sections 17 and 18 of the DEA 2010.","<div>[The DEA 2010 introduced two key procedures aimed at reducing online piracy through the “graduated response” approach – procedures labelled as the “initial obligations” and the “obligations to limit Internet access”.</div>
<div>(<strong>1</strong>) The first procedure starts with a copyright owner accessing one of the P2P filesharing networks, and attempting to find and download a file to which he owns the copyright. Once he succeeds, he is supposed to record the IP address of the user who made the copyrighted file available, and send it to this user's ISP in the form of a Copyright Infringement Report (CIR). By virtue of s. 3 of the Act, the ISP is then required to forward this CIR to the allegedly infringing user. Should a user receive more than three CIRs, each of them separated from another by a specific period of time, he is to be put on this ISP's “copyright infringement list”. By virtue of s. 4, the copyright owner may demand the ISP to provide him with an anonymous list of all users who reached the threshold by infringing his copyright. Upon receiving the list, the copyright owner may then apply for a court injunction to identify the infringing users and commence infringement proceedings against them.</div>
<div>(<strong>2</strong>) The second procedure, known as the “obligations to limit Internet access”, is to be implemented only if the Secretary of State decides that the initial obligations regime does not perform sufficiently well in reducing online piracy, after at least a year of operation. This second procedure would impose an obligation on the ISPs to act upon the Internet connection of its subscribers who reached the threshold of CIRs or went above it. This could potentially include measures such as limiting the speed of the connection, preventing the subscriber from accessing certain online services, and (in the ultimate case) suspending the subscriber's connection altogether. However, none of the two procedures has actually been implemented.</div>
<div>(<strong>3</strong>) The initial obligations code, governing the operational aspects of the discussed procedures, has not appeared yet. Moreover, after a series of setbacks, the UK government announced that the initial obligations regime is to be activated in the second half of 2015.</div>
<div>(<strong>4</strong>) In addition to the “graduated response” procedures, section 17 of the DEA 2010 provides that the Secretary of State may introduce regulations explicitly providing the courts with an option of granting a blocking injunction against a “location on the internet” (most commonly, a website) which the court sees as “(…) being, or (…) likely to be used for or in connection with an activity that infringes copyright.” The online service provider who received the blocking injunction would have to “prevent its service being used to gain access” such a location. However, such regulations haven’t been established yet, and section 17 itself is potentially a subject to removal within the Draft Deregulation Bill 2013, clause 26 of which proposes omitting sections 17 and 18 of the DEA 2010.]</div>",United Kingdom,,LEGISLATION - Law,2010,Legislation,Legislative Branch,Civil,Copyright,Injunctive,General or Non-Specified,Mixed/Neutral/Unclear,Takedown/Act Upon Knowledge (Includes Notice and Takedown),,Block or Remove+Terminate Account,,Notice Formalities,,,,,,,Good/No Action Required,http://www.legislation.gov.uk/ukpga/2010/24,,http://www.legislation.gov.uk/ukpga/2010/24
